year,month,AIC_can,JAI_can,IGO_can,SEG_can,GOW_can,IAD_can,VTI_can,TRJ_can,AIC_com,JAI_com,IGO_com,SEG_com,GOW_com,IAD_com,VTI_com,TRJ_com,AIC_pax,JAI_pax,IGO_pax,SEG_pax,GOW_pax,IAD_pax,VTI_pax,TRJ_pax,AIC_flights,JAI_flights,IGO_flights,SEG_flights,GOW_flights,IAD_flights,VTI_flights,TRJ_flights,AIC_aff,JAI_aff,IGO_aff,SEG_aff,GOW_aff,IAD_aff,VTI_aff,TRJ_aff,avg_temp,rainfall_actual,overall_can_rate,can_r1,can_r2,can_r3,can_r4,can_r5,com,com_rate,com_r1,com_r2,com_r3,com_r4,com_r5,com_r6,com_r7,com_r8,com_r9
2014,jun,0.99,1.83,0.11,0.69,0.93,0,,,2.4,1.7,1,1.2,2.6,15,,,10.55,11.17,17.97,10.8,5.76,0.12,,,"8,596","12,458","14,194","9,340","4,055",,,128,22708,5489,14988,3526,678,345,1293,34,34.15,137.536,1.94,4.9,35.2,8.2,1.9,49.9,900,1.6,,,,,6.1,4.7,23,,58.3
2014,jul,2.23,1.025,0.2,0.36,0.48,0,,,2.4,0.3,0.6,1.2,1.7,1.2,,,9.4,10.21,16,10.92,4.8,0.25,,,"8,755","12,845","14,724","9,653","3,962",,,144,18708,2284,4280,2073,480,0,0,0,31.85,310.619,1.21,3,39.2,17.6,5,35.2,581,1.1,24.4,11.5,0.3,0.3,5.3,28.6,18.2,1,10.2
2014,aug,4.36,0.835,0.32,0.6,0.18,0,,,2.2,0.8,0.6,1.3,1.4,0.6,,,9.24,11.42,18.59,11.09,5.67,0.36,,,"8,558","12,878","14,967","9,509","3,970",,,300,31683,3486,5054,1582,486,161,0,0,31.32,288.3,1.19,6.4,45.4,7.7,5.4,35,712,1.3,13.5,9.3,0,1,11.9,24.9,22.1,0.6,16.9
2014,sep,2.52,0.72,0.45,0.95,0.37,0,,,2.5,0.8,0.4,1.1,2.1,0.6,,,9.66,12.12,19.07,10.81,5.37,0.54,,,"8,107","12,611","14,962","9,033","3,743",,,340,23972,3404,1433,2393,1418,453,0,0,30.68,197.869,1,6.6,42.3,23.1,8.2,19.7,750,1.3,23.3,8.4,0,1.7,11.9,17.9,22.3,1.1,13.5
2014,oct,1.45,0.82,2.35,0.64,0.87,0,,,2.9,1.15,0.6,1.2,4.4,0.7,,,11.56,12.15,18.9,10.27,5.04,0.66,,,"8,580","13,277","15,425","9,111","4,006",,,421,54507,7008,3033,3165,981,905,0,0,30.29,79.808,1.36,4.1,13.9,41.5,7.4,33.1,1080,1.8,24.8,5.3,0,0.3,4.6,28.3,18.9,0.1,17.7
2014,nov,2.11,0.505,0.14,16.12,0.35,2.65,,,2.2,0.8,0.6,1.6,4.2,1.8,,,10.27,13.53,19.68,8.76,5.29,0.61,,,"8,323","12,929","15,384","7,366","4,002",,,454,31442,3434,562,5576,518,1676,0,0,28.05,23.456,3.34,5.7,6.6,1.9,0.2,85.7,933,1.6,23.5,4.5,0,1,3.6,32.3,20.6,0.1,14.5
2014,dec,2.92,2.13,1.38,31.95,1.29,1.92,,,2.1,0.75,1,3.1,6.2,1.8,,,11.99,15,23.24,6.71,6.01,0.74,,,"8,769","13,180","15,967","5,982","4,059",,,470,102636,16657,58449,5576,1094,1951,0,0,25.08,16.874,6.99,1.6,3.1,17.8,0.3,77.2,1322,2.1,31.2,5.5,0,0.1,2.2,26.2,19.4,0.2,15.2
2015,jan,3.08,2.845,1.09,3.75,1.94,2.92,1.82,,2.2,0.75,0.9,5.6,3.1,1.8,1.3,,11.65,15.03,22.76,5.87,5.53,0.81,0.15,,"3,196","13,331","16,280","5,667","3,947",598,216,,104125,17834,75034,4979,1487,5088,0,0,24.58,18.556,2.21,5.2,13.5,66,2.2,13.2,1197,1.9,19.9,5.8,0,0.3,16.4,30.7,22.9,0.3,3.7
2015,feb,1.01,1.14,0.15,1.04,0.76,1.5,2.28,,2.4,0.75,1,4.5,2.5,1.8,0.3,,10.68,14.62,22.31,5.53,5.35,0.72,0.33,,"2,880","12,655","15,285","4,860","3,545",526,386,,36452,6459,11782,3804,829,6795,143,0,26.89,16.214,0.6,5.1,18.5,40.7,3.6,32,1092,1.8,23.4,5.6,0.1,0.6,10,29.9,21.8,0.8,7.7
2015,mar,1.58,0.255,0.3,1.89,0.38,1.09,0.43,,2.1,0.7,0.9,3.4,5.9,1.7,0.4,,10.6,15.95,22.86,6.09,5.51,0.69,0.53,,"3,105","14,205","17,661","5,551","3,907",546,702,,23702,5441,9249,5225,749,272,264,0,29.07,50.564,0.72,3.2,29.3,31.9,6.6,29,1194,1.9,29.6,7.4,0.2,0.9,9.7,24.3,16,0.4,11.6
2015,apr,1.62,0.75,0.03,0.69,0.44,0,0,,1.4,0.7,0.9,2.8,2.6,1.4,0.1,,10.65,15.15,24.81,7.07,5.74,0.72,0.79,,"2,923","14,258","17,508","6,013","3,808",536,814,,29848,6986,13627,4873,1244,0,98,0,31.87,72.914,1.96,1.7,48.2,19,0.6,30.6,935,1.4,25.9,7.7,0.1,0.7,5.1,30.5,19.4,0.1,10.5
2015,may,0.47,0.555,0.01,0.58,0.13,0,0,,1.5,0.7,0.7,2.2,1.1,1.4,0.2,,11.28,15.26,27.69,8.37,6.13,0.94,0.93,,"2,979","14,812","18,477","6,836","3,892",646,907,,22497,3887,6307,4090,1916,578,0,0,34.09,75.908,2,7.9,75.1,10.6,0,6.4,858,1.2,25.4,9.4,0.1,5.6,7.3,23.8,25.4,0.2,2.7
2015,jun,1.4,0.595,0.1,1.22,0.36,0.24,0.2,,1.7,0.7,0.7,2,1.2,1.1,0.2,,10.09,13.98,25.37,8,5.72,1.26,0.84,,"2,911","14,134","17,808","6,575","3,827",846,982,,36850,5475,8872,3500,1426,2479,221,0,32.48,236.583,1.83,17.3,24.3,21.5,1.4,35.5,819,1.2,24.8,6.6,4.4,0.9,6.5,31.5,22.3,1,2.1
2015,jul,1.12,0.37,0.11,0.49,0.46,0.3,0.37,,1.6,0.7,0.8,1.6,1.3,1.2,0.2,,10.94,15.37,24.17,8.31,5.66,1.43,0.95,,"3,049","14,678","18,471","6,940","3,909",989,"1,063",144,29726,4787,7522,3570,1291,349,419,0,31.88,266.364,1.72,3.1,47.1,25.6,1.4,22.9,802,1.2,26.4,11.3,0,0.9,7.9,26.3,20.3,0.4,6.5
2015,aug,1.2,0.335,0.2,0.7,0.44,0,0.19,5.66,1.7,0.7,0.7,1.4,1.3,1,0.1,5,11.25,15.44,23.85,8.3,5.49,1.34,0.99,0.18,"3,054","14,768","18,510","6,960","4,072","1,026","1,079",300,32313,2764,2839,2945,1288,130,0,0,31.52,233.925,1.76,1.4,43.6,22.3,6.7,25.9,770,1.1,27.5,11.2,0.1,1.2,6,24.2,22.1,0.3,7.5
2015,sep,2.09,0.43,0.01,0.09,0.05,0.29,0,3.95,1.8,0.7,0.6,1.2,0.9,0.9,0.2,1.1,10.59,14.63,24.3,8.19,5.79,1.25,0.98,0.19,"2,960","14,346","18,402","6,767","4,085","1,017","1,068",340,21684,2671,3992,2240,1226,1007,108,70,31.55,158.303,1.34,30.2,18,10.7,3.7,37.5,710,1.1,25.1,11.4,0.1,1.8,8,24.2,22.3,0.6,6.5
2015,oct,0.65,0.195,0.17,0.13,0.7,0,0.47,14.95,1.9,0.7,0.6,1,1,0.8,0.1,1.3,10.88,14.95,25.9,8.99,5.94,1.5,1.23,0.23,"3,082","14,905","19,105","7,414","4,132","1,048","1,250",421,26918,1820,4606,3305,918,1764,725,129,31.04,60.164,0.57,10.3,42.4,3,1.2,43,727,1,24.5,8.8,0.1,0.7,3.9,33,21.9,0.1,7
2015,nov,0.74,0.825,0.36,0.15,0.66,0,0,2.16,2.1,0.65,0.5,0.8,2.8,0.8,0.1,0.4,11.89,15.63,25.98,9.77,6.03,1.62,1.36,0.26,"2,937","14,784","18,710","7,885","4,088","1,098","1,268",454,35728,5201,23359,3535,847,1972,380,0,28.1,45.349,0.78,7.3,11.1,39.6,4,38,857,1.2,28.7,8.3,0.2,0.7,4.3,20.9,19.4,0.5,17
2015,dec,2.39,2.51,2.01,0.34,1.52,0.49,0.43,1.26,4.3,0.65,0.5,0.6,1.5,0.7,,0.4,12.85,16.22,27.43,9.76,6.39,1.82,1.58,0.28,"3,015","14,402","18,677","7,653","4,200","1,230","1,374",470,74419,7344,29390,5785,1453,2308,2065,53,25.67,21.225,2.49,6.3,6.2,75.9,1.1,10.5,1091,1.4,27.1,7.7,0.1,0.7,3.5,28,28.2,0.1,4.6
2016,jan,1.91,0.375,0.97,0.51,0.55,0.5,0.59,1.22,2.8,0.65,0.5,0.5,1,0.9,0.3,0.3,12.23,16.38,27.26,10.11,6.2,1.75,1.5,0.29,"8,964","14,795",930,"8,014","4,116","1,196","1,347",486,89433,6406,11782,4730,2410,6314,3645,46,26.94,10.258,1.1,4,13.6,32.9,1.6,47.9,823,1.1,28.7,6,0.1,0.9,6.2,30.5,22.4,0.1,5.2
2016,feb,0.68,0.3,0.15,0.35,0.2,0,0.15,1.32,2.4,0.65,0.5,0.5,1.2,0.7,0.1,0.4,11.54,15.79,27.54,9.76,5.95,1.67,1.49,0.26,"8,482","14,184",910,"7,642","3,923","1,084","1,341",450,26665,1749,21660,6295,1360,1004,1669,24,29.72,10.558,0.7,4.8,27.5,10.4,0.5,56.8,759,1,25.8,6.3,0.1,0.9,5.9,25.4,27.7,0.1,7.6
